Rosemere,3.2222222222222223
Seattle,5.0
Brooklyn,2.8987341772151898
Longueuil,3.392405063291139
Queen Creek,3.633663366336634
Mantua,3.5625
Edmonton,1.0
Kennedy Township,4.0
Middleburg Hts.,2.0
Lake Mead,4.0
Painesville,3.1954887218045114
Le Sud-Ouest,4.0
Brooklin,3.5454545454545454
CHARLOTTE,3.875
Highland Hts,3.0
Pineville,3.282857142857143
Cecil,3.8
Saint-Constant,3.7142857142857144
Central City Village,3.0
Lower Lawrenceville,3.0
Phoenx,5.0
Deerfield,3.3333333333333335
Montréal-West,3.0
Bay Village,3.6595744680851063
SCOTTSDALE,4.5
Brunswick,3.1864406779661016
Île des Soeurs,4.0
Deux-Montagnes Regional County Municipality,4.0
Ballantyne,4.0
Durham Regional Municipality,2.0
Columbus,4.0
Painesville Township,5.0
AGINCOURT,2.0
City Center,5.0
St-Clet,3.0
Ft. Mill,2.6666666666666665
Iberville,4.0
New Tecumseth,3.0
Red Rock,4.0
Manchester,2.0
mesa,3.5
New River,5.0
Venetia,4.25
Île-des-Soeurs,3.0
Columbia Sta,2.0
N. Randall,3.0
Dollard-des Ormeaux,3.857142857142857
Rigaud,3.8
Gastonia,3.056133056133056
Mckees Rocks,3.473684210526316
Dorval,2.7857142857142856
Litchfield Park,3.4887892376681613
LAS VEGAS,3.7
Montreal-Nord,3.375
las Vegas,5.0
Sainte-Rose,3.0
Allentown,4.0
Toronto Division,3.0
De Winton,2.0
GOODYEAR,3.0
Westview,4.0
Kannapolis,3.1584158415841586
Millvale,4.1
Pine,3.0
NELLIS AFB,4.0
Sutersville,4.666666666666667
Turtle Creek,3.210526315789474
Litchfield,3.5833333333333335
Ansnorveldt,4.0
East Hawkesbury,4.0
Euclid,3.0373831775700935
East Liberty,2.25
Kent,3.231372549019608
Laval, Pont Viau,3.0
Mt Lebanon,3.5555555555555554
McMasterville,3.0
Monroeville,2.9875311720698257
University Heights,3.13953488372093
Mentor On the Lake,3.5
Henryville,4.0
Westlake,3.292307692307692
Charlotte,3.3146161934805467
Willowdale,2.2222222222222223
Peninsul,4.0
Brownsburg-Chatham,4.0
Plum,3.4
Willoughby,3.2364341085271318
Laval, Ste Dorothee,5.0
Coteau-du-Lac,4.0
Mirabel,3.142857142857143
Clairton,3.588235294117647
Palgrave,4.0
New Kensington,3.3048780487804876
Châteauguay,3.2857142857142856
Robinson Township,3.1739130434782608
Southside Flats,5.0
McKeesRocks,4.0
henderson,5.0
Fabreville,4.0
Jefferson Hills,2.6666666666666665
St Joseph,4.0
Shorewood Hills,3.0
TOLLESON,5.0
Lodi,2.0
Champaign,3.204275534441805
Saint-Bruno,3.6
Glen Williams,4.0
Greensboro,4.0
Red Mountain,2.0
Westport,4.0
Estérel,3.0
University,2.0
